lemma,count
propuesto,4
consistente,4
exigible,4
liberal,4
motivado,4
interamericana,4
torno,4
atracción,4
extemporáneo,4
luz,4
deportivo,4
actualidad,4
faceta,4
campesino,4
icetex,4
salario,4
común,4
unificación,4
expresar,4
inmediatez,4
salvoconducto,4
señalamiento,4
interpretar,4
vicepresidenta,4
amparan,4
asuntos,4
mitigar,4
rigor,4
prescripción,4
autorizar,4
inicio,4
definitivo,4
avance,4
mixto,4
regir,4
consumidor,4
verso,4
encaminado,4
carcelaria,4
anular,4
migración,4
asimismo,4
hubierir,4
incongruencia,4
plantear,4
patriótica,4
deshonrosa,4
whatsapp,4
nariño,4
debidamente,4
definición,4
consistir,4
josé,4
san,4
texto,4
obrar,4
recaudada,4
falso,4
exceder,4
inhabilidad,4
criminal,4
sitio,4
actualizar,4
jambaló,4
reproche,4
repetición,4
emitido,4
giro,4
disponible,4
máximo,4
compañera,4
respectar,4
interpuestar,4
accidente,4
entrega,4
uribe,4
iniciado,4
compulsar,4
perro,4
pedagógico,4
unilateral,4
justa,4
aprobar,4
alcaldesa,4
rector,4
idea,4
hipótesis,4
reincorporación,4
citado,4
diseñir,4
veinticinco,4
avanzar,4
ejemplo,4
interseccional,4
rechaza,4
eliminación,4
ignorar,4
certeza,4
famisanar,4
directiva,4
impartida,4
valla,4
homicidio,4
calificar,4
ejército,4
culpa,4
políticos,4
maternidad,4
alternativa,4
justo,4
principalmente,4
alcalde,4
promovido,4
actoro,4
seguros,4
alta,4
tierra,4
ineficacia,4
genocida,4
adquirir,4
víctimas,4
provisional,4
prevalencia,4
lícito,4
percibir,4
compañía,4
pis,4
financiero,4
compatible,4
inadmisión,4
parágrafo,4
efectos,4
iglesia,4
acdac,4
realización,4
crisis,4
aprehensión,4
familias,4
rendir,4
interpretar él,4
rama,4
caracterización,4
pasto,4
respetuoso,4
reclusión,4
finalmente,4
estereotipo,4
sustento,4
continuidad,4
consecuente,4
pasar,4
satisfacción,4
domicilio,4
compensación,4
cancelación,4
solidariamente,4
contributivo,4
sisbén,4
permanencia,4
tutelada,4
actuado,4
suministrar,4
determinación,4
simple,4
incidencia,4
desplazado,4
pasivo,4
inicial,4
boletín,4
referir él,4
comprobar,4
señalado,4
ajuste,4
quinto,4
indígenar,4
efectivamente,4
sic,4
costo,4
glosa,4
identificado,4
fidufosyga,4
materialización,4
exclusión,4
previamente,4
descongestión,4
profesor,4
efectuado,4
portal,4
sexto,4
inferior,4
suceder,4
gracia,3
materializar,3
marta,3
santa,3
compuesto,3
tutelan,3
crimen,3
auxilio,3
radio,3
convenio,3
suficiencia,3
levantamiento,3
llamar,3
acta,3
voluntariamente,3
finalización,3
reconocido,3
yerro,3
arbitrariedad,3
ostensible,3
regional,3
pesos,3
matarife,3
militante,3
aportar,3
gravamen,3
